trait_no,try_no,kernel_name,nfolds,R2_test
19,7,23,10,0.002
19,8,23,10,0.011
19,9,23,10,0.011
19,10,23,10,0.005
20,1,23,10,0.013
20,2,23,10,0.001
20,3,23,10,0.039
20,4,23,10,0
20,5,23,10,0.003
20,6,23,10,0.014
20,7,23,10,0.024
20,8,23,10,0.035
20,9,23,10,0.01
20,10,23,10,0.015
21,1,23,10,0.002
21,2,23,10,0.008
21,3,23,10,0.004
21,4,23,10,0.002
21,5,23,10,0.012
21,6,23,10,0.006
21,7,23,10,0.005
21,8,23,10,0.001
21,9,23,10,0.013
21,10,23,10,0.011
22,1,23,10,0.005
22,2,23,10,0.005
22,3,23,10,0.006
22,4,23,10,0.01
22,5,23,10,0.015
22,6,23,10,0.003
22,7,23,10,0.005
22,8,23,10,0.005
22,9,23,10,0.008
22,10,23,10,0.006
23,1,23,10,0.006
23,2,23,10,0.004
23,3,23,10,0.005
23,4,23,10,0.005
23,5,23,10,0.002
23,6,23,10,0.003
23,7,23,10,0.003
23,8,23,10,0.006
23,9,23,10,0.007
23,10,23,10,0.006
24,1,23,10,0.004
24,2,23,10,0.017
24,3,23,10,0.001
24,4,23,10,0.01
24,5,23,10,0.006
24,6,23,10,0.004
24,7,23,10,0.009
24,8,23,10,0.006
